WAYBILL,Direccion_Destino,CITY,STATE,POSTAL_CODE,COUNTRY,DISTANCE_BILLED,Pure_Freight,Fuel_Cost,Team_D.15mILE,Total_Feight_Inv,Origen,CARRIER,FULL_Direccion_Destino,%Truck_used,WH_Address
1714899,JACKSONVILLE FL 32207 US,JACKSONVILLE,FL,32207,US,1015.7,1117.27,396.12,152.36,1665.75,,LUNA,JACKSONVILLE FL 32207 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1716385,LITHONIA GA 30058-4613 US,LITHONIA,GA,30058-4613,US,829.7,912.67,323.58,0,1236.25,,LUNA,LITHONIA GA 30058-4613 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717202,LAUREL MD 20707 US,LAUREL,MD,20707,US,1359,1494.9,570.78,0,2065.68,,LUNA,LAUREL MD 20707 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717248,YORK PA 17406-8474 US,YORK,PA,17406-8474,US,1410.4,1551.44,592.37,0,2143.81,,LUNA,YORK PA 17406-8474 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717289,CHARLOTTE NC 28208-2735 US,CHARLOTTE,NC,28208-2735,US,1042,1146.2,406.38,156.3,1708.88,,LUNA,CHARLOTTE NC 28208-2735 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717353,ALBUQUERQUE NM 87107-4746 US,ALBUQUERQUE,NM,87107-4746,US,631.9,695.09,246.44,94.79,1036.32,,LUNA,ALBUQUERQUE NM 87107-4746 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717354,WHARTON NJ 07885-1800 US,WHARTON,NJ,07885-1800,US,1531,1684.1,673.64,229.65,2587.39,,LUNA,WHARTON NJ 07885-1800 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717391,PORTLAND OR 97219-6872 US,PORTLAND,OR,97219-6872,US,2041,2245.1,1040.91,306.15,3592.16,,LUNA,PORTLAND OR 97219-6872 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717392,CANTON MI 48187-2435 US,CANTON,MI,48187-2435,US,1152.7,1267.97,449.55,0,1717.52,,LUNA,CANTON MI 48187-2435 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717892,GASTONIA NC 28052 US,GASTONIA,NC,28052,US,1025.3,1127.83,399.87,0,1527.7,,LUNA,GASTONIA NC 28052 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717982,COLCHESTER VT 05446-7978 US,COLCHESTER,VT,05446-7978,US,1801.9,1982.09,864.91,270.29,3117.29,,LUNA,COLCHESTER VT 05446-7978 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717997,ANOKA MN 55303 US,ANOKA,MN,55303,US,961.1,1057.21,374.83,0,1432.04,,LUNA,ANOKA MN 55303 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1718052,MOUNT WASHINGTON KY 40047-7309 US,MOUNT WASHINGTON,KY,40047-7309,US,839,922.9,327.21,125.85,1375.96,,LUNA,MOUNT WASHINGTON KY 40047-7309 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1718514,EAST HAVEN CT 06512-4113 US,EAST HAVEN,CT,06512-4113,US,1645.7,1810.27,740.57,0,2550.84,,LUNA,EAST HAVEN CT 06512-4113 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1718518,BOSSIER CITY LA 71111 US,BOSSIER CITY,LA,71111,US,210.5,400,82.1,31.58,513.67,,LUNA,BOSSIER CITY LA 71111 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1718543,SAN DIEGO CA 92126 US,SAN DIEGO,CA,92126,US,1357.3,1493.03,570.07,203.6,2266.69,,LUNA,SAN DIEGO CA 92126 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
