SERIAL_NUMBER,OH_INV,ORDER_NUMBER,DESCRIPTION,SEGMENT1,NAME,TRANSACTION_ID,SHIPMENT_NUMBER,SCHEDULE_SHIP_DATE,SCHEDULE_SHIP_DATE,SCHEDULE_ARRIVAL_DATE,ADDRESSEE,CONFIRM_DATE,ADDRESS1,CITY,STATE,POSTAL_CODE,COUNTRY,CREATION_DATE,Delivery ID,PRO#/Tracking#,TMS_REG
57-58265729,6/10/2021,6138643,SS84 Optimize Drive Up Catalog,6684MC7026,Rental Sourcing US,4809251244,97130343,7/2/2021 23:59,7/2/2021 23:59,7/6/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/2/2021 15:15,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/2/2021 15:16,97130343,22860431,TMS
57-58265191,6/11/2021,6138629,SS84 Optimize Walk Up Catalog,6684MC7224,Rental Sourcing US,4830206301,97439725,7/13/2021 23:59,7/13/2021 23:59,7/15/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/13/2021 20:40,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/13/2021 20:41,97439725,22865454,TMS
57-58265187,6/11/2021,6138642,SS84 Optimize Walk Up Catalog,6684MC7224,Rental Sourcing US,4830206455,97439723,7/13/2021 23:59,7/13/2021 23:59,7/15/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/13/2021 20:41,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/13/2021 20:42,97439723,22865454,TMS
57-58265194,6/11/2021,6138640,SS84 Optimize Walk Up Catalog,6684MC7224,Rental Sourcing US,4809251336,97130427,7/2/2021 23:59,7/2/2021 23:59,7/6/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/2/2021 15:15,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/2/2021 15:17,97130427,22860431,TMS
57-58265188,6/11/2021,6138677,SS84 Optimize Walk Up Catalog,6684MC7224,Rental Sourcing US,4823695996,97438913,7/9/2021 23:59,7/9/2021 23:59,7/13/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/9/2021 21:09,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/9/2021 21:10,97438913,22863632,TMS
57-58265190,6/11/2021,6138678,SS84 Optimize Walk Up Catalog,6684MC7224,Rental Sourcing US,4830207176,97438995,7/13/2021 23:59,7/13/2021 23:59,7/15/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/13/2021 20:42,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/13/2021 20:43,97438995,22865454,TMS
57-58265189,6/12/2021,6138628,SS84 Optimize Walk Up Catalog,6684MC7224,Rental Sourcing US,4830205640,97439820,7/13/2021 23:59,7/13/2021 23:59,7/15/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/13/2021 20:39,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/13/2021 20:40,97439820,22865454,TMS
57-58265192,6/12/2021,6138711,SS84 Optimize Walk Up Catalog,6684MC7224,Rental Sourcing US,4837125186,97513159,7/16/2021 23:59,7/16/2021 23:59,7/20/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/16/2021 22:46,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/16/2021 22:47,97513159,22867321,TMS
57-58265193,6/12/2021,6138686,SS84 Optimize Walk Up Catalog,6684MC7224,Rental Sourcing US,4837125180,97513161,7/16/2021 23:59,7/16/2021 23:59,7/20/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/16/2021 22:46,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/16/2021 22:47,97513161,22867321,TMS
57-58266414,6/25/2021,6174443,6684 Optimize WU Dip,6684MC6736,Rental Sourcing US,4837125140,97513184,7/16/2021 23:59,7/16/2021 23:59,7/20/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/16/2021 22:46,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/16/2021 22:47,97513184,22867321,TMS
